"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
213, 1.038859468911713e-02, -2.891477984440391e-02, 1.263206551441052e+00, 4.450462332309574e+01, -5.889125052957279e+01, 2.665368595672780e+05
214, 1.204161903062628e-02, -3.101238497951305e-02, 1.259762251474956e+00, 5.064573721277269e+01, -6.171029620810452e+01, 2.659182936113095e+05
215, 1.381503980116172e-02, -3.308979939080200e-02, 1.256844842146318e+00, 5.657360569160849e+01, -6.378381781110707e+01, 2.654076397896424e+05
216, 1.570841943568446e-02, -3.514651300841828e-02, 1.252947009864657e+00, 6.236146056118002e+01, -6.533000865821779e+01, 2.646909167947619e+05
217, 1.772129077110096e-02, -3.718199683760338e-02, 1.250088174632001e+00, 6.801352180074764e+01, -6.644563982303947e+01, 2.641922336647701e+05
218, 1.985315716152847e-02, -3.919570415160254e-02, 1.246944279002878e+00, 7.358153435824823e+01, -6.724919753780452e+01, 2.636356417297016e+05
219, 2.210349260083494e-02, -4.118707173945937e-02, 1.244095750040815e+00, 7.873164166710019e+01, -6.750182538072904e+01, 2.631325812394556e+05
220, 2.447174185242323e-02, -4.315552120494270e-02, 1.240890227835418e+00, 8.372845601159425e+01, -6.750589101995068e+01, 2.625544890205452e+05
221, 2.695732058622735e-02, -4.510046031270730e-02, 1.238327740618259e+00, 8.825296614188038e+01, -6.705454743791920e+01, 2.621005707778184e+05
222, 2.955961552288727e-02, -4.702128437765885e-02, 1.235402856616493e+00, 9.261987137458928e+01, -6.644328544742594e+01, 2.615701014869722e+05
223, 3.227798458506631e-02, -4.891737769337289e-02, 1.232630024855369e+00, 9.685043357072094e+01, -6.570783117468258e+01, 2.610714004530446e+05
224, 3.511175705587427e-02, -5.078811499531476e-02, 1.230412442199225e+00, 1.008565803796417e+02, -6.480715852372340e+01, 2.606857450676924e+05
225, 3.806023374435663e-02, -5.263286295451525e-02, 1.227872922106425e+00, 1.044209155289356e+02, -6.363073400971078e+01, 2.602221436828029e+05
226, 4.112268715800943e-02, -5.445098169728232e-02, 1.225904062100926e+00, 1.078625407789947e+02, -6.240204832415382e+01, 2.598775612168706e+05
227, 4.429836168227735e-02, -5.624182634646770e-02, 1.223968224019108e+00, 1.111799988429678e+02, -6.112636783726744e+01, 2.595393265781104e+05
228, 4.758647376699021e-02, -5.800474857976087e-02, 1.221954242466371e+00, 1.142170241011596e+02, -5.972740978181827e+01, 2.591787178252658e+05
229, 5.098621211969218e-02, -5.973909820045304e-02, 1.220038246847828e+00, 1.169522857109295e+02, -5.821117510293617e+01, 2.588315269788703e+05
230, 5.449673790581605e-02, -6.144422471609706e-02, 1.218146989664100e+00, 1.195462772569995e+02, -5.666995795494247e+01, 2.584876772063332e+05
231, 5.811718495565327e-02, -6.311947892048991e-02, 1.216548769212798e+00, 1.219588474529907e+02, -5.508930849881810e+01, 2.582016040893511e+05
232, 6.184665997806821e-02, -6.476421447441789e-02, 1.215163725313403e+00, 1.242898015235002e+02, -5.351812846877193e+01, 2.579598512789415e+05
233, 6.568424278090440e-02, -6.637778948063525e-02, 1.213603740038862e+00, 1.264789493130052e+02, -5.193112390086502e+01, 2.576791443383318e+05
234, 6.962898649802818e-02, -6.795956804859131e-02, 1.212270490288699e+00, 1.284879087987616e+02, -5.031628317644697e+01, 2.574418026853869e+05
235, 7.367991782295386e-02, -6.950892184448032e-02, 1.210997681577342e+00, 1.303188968581979e+02, -4.867934988853175e+01, 2.572130038315969e+05
236, 7.783603724899246e-02, -7.102523162226182e-02, 1.209850763267905e+00, 1.319515757711841e+02, -4.701752961124011e+01, 2.570055110840700e+05
237, 8.209631931586486e-02, -7.250788873138740e-02, 1.208547243019996e+00, 1.336676588320043e+02, -4.543174054966202e+01, 2.567701545556188e+05
238, 8.645971286271908e-02, -7.395629659707102e-02, 1.207679429433347e+00, 1.351078582565905e+02, -4.379706079382510e+01, 2.566176973401591e+05
239, 9.092514128748824e-02, -7.536987216905446e-02, 1.206678765021524e+00, 1.365430031238414e+02, -4.220581211933742e+01, 2.564389771358542e+05
